temperature,humidity,gas,vibration,current
25.3,56.8,885.0,0.0,0.0
25.3,56.8,885.0,0.0,0.0
25.3,56.8,885.0,0.0,0.0
22.3,58.2,875.0,0.0,0.23
22.3,58.4,874.0,0.0,0.11
22.3,58.3,880.0,0.0,0.0
22.3,58.3,869.0,0.0,0.12
22.3,58.4,879.0,0.0,0.0
22.3,58.2,883.0,0.0,0.0
22.3,58.3,896.0,0.0,0.06
22.3,58.2,878.0,0.0,0.0
22.3,58.2,880.0,0.0,0.0
22.3,58.1,870.0,0.0,0.0
22.3,58.1,869.0,0.0,0.01
22.3,58.3,870.0,0.0,0.24
22.3,58.9,871.0,0.0,0.0
22.3,58.7,871.0,1.0,0.12
22.3,58.7,885.0,0.0,0.24
22.3,58.4,880.0,1.0,0.01
22.3,58.3,870.0,0.0,0.01
22.3,58.3,865.0,0.0,0.0
22.3,64.3,882.0,0.0,0.0
11.1,35.8,878.0,0.0,0.1
22.4,72.2,870.0,0.0,0.0
22.4,73.1,886.0,0.0,0.0
22.4,77.8,891.0,0.0,0.0
22.4,73.5,865.0,0.0,0.0
22.4,71.4,876.0,0.0,0.0
22.5,69.5,873.0,0.0,0.0
22.4,66.0,902.0,0.0,0.19
22.5,64.6,880.0,0.0,0.0
22.4,63.3,899.0,0.0,0.14
22.4,62.4,882.0,0.0,0.06
22.5,61.0,873.0,0.0,0.0
22.5,60.6,895.0,0.0,0.33
11.2,30.3,882.0,0.0,0.0
22.5,59.8,879.0,0.0,0.0
22.5,59.6,887.0,0.0,0.0
22.5,59.5,877.0,0.0,0.04
22.5,59.2,879.0,0.0,0.0
22.5,59.0,873.0,0.0,0.17
22.5,59.5,877.0,0.0,0.08
22.5,59.8,869.0,0.0,0.01
22.6,61.7,889.0,0.0,0.0
22.6,61.6,883.0,0.0,0.0
22.7,61.6,878.0,0.0,0.02
22.9,61.2,873.0,0.0,0.0
11.4,30.6,866.0,0.0,0.0
22.9,61.6,897.0,0.0,0.0
23.0,61.7,867.0,0.0,0.0
23.1,61.6,869.0,0.0,0.0
23.2,60.5,881.0,0.0,0.28
23.2,59.4,874.0,0.0,0.0
23.3,57.7,870.0,0.0,0.01
23.4,57.6,875.0,0.0,0.0
23.4,58.2,869.0,0.0,0.0
23.4,58.9,871.0,0.0,0.18
23.5,59.6,875.0,0.0,0.08
23.6,59.8,879.0,0.0,0.12
23.6,60.0,885.0,0.0,0.0
23.6,64.8,867.0,0.0,0.14
23.6,66.7,878.0,0.0,0.0
23.7,65.9,878.0,0.0,0.04
23.7,64.0,887.0,0.0,0.0
23.7,63.1,867.0,0.0,0.03
23.7,62.7,871.0,0.0,0.01
23.7,62.4,880.0,0.0,0.0
23.7,61.3,901.0,0.0,0.16
23.7,59.9,862.0,0.0,0.0
23.6,58.5,874.0,0.0,0.0
23.6,57.5,877.0,0.0,0.16
23.6,56.4,879.0,0.0,0.0
23.6,56.3,876.0,0.0,0.28
23.5,56.8,874.0,0.0,0.07
11.7,28.6,861.0,0.0,0.0
23.5,57.6,873.0,0.0,0.0
23.5,57.3,879.0,0.0,0.08
23.5,56.9,874.0,0.0,0.05
23.4,56.3,880.0,0.0,0.0
23.4,56.0,865.0,0.0,0.0
23.4,55.7,871.0,0.0,0.0
23.3,55.5,880.0,0.0,0.48
23.3,55.4,866.0,0.0,0.0
23.3,55.4,880.0,0.0,0.01
23.2,55.4,880.0,0.0,0.27
23.2,55.4,870.0,0.0,0.0
23.1,55.4,870.0,0.0,0.1
11.5,27.7,874.0,0.0,0.0
23.1,55.5,863.0,0.0,0.0
23.1,55.5,887.0,0.0,0.0
23.1,55.4,879.0,0.0,0.0
23.0,55.9,880.0,0.0,0.0
