temperature,humidity,gas,vibration,current
23.9,63.1,870.0,0.0,0.0
23.9,63.1,881.0,0.0,0.26
23.9,63.2,871.0,0.0,0.27
23.9,63.2,876.0,0.0,0.0
24.0,63.3,886.0,0.0,0.0
23.9,63.3,879.0,0.0,0.0
23.9,63.4,870.0,0.0,0.0
23.9,63.3,902.0,0.0,0.06
23.9,62.1,881.0,1.0,0.12
23.9,62.2,867.0,0.0,0.0
23.9,62.2,864.0,0.0,0.22
23.9,62.0,874.0,0.0,0.01
11.9,31.0,877.0,0.0,0.0
11.9,31.0,865.0,0.0,0.17
11.9,31.0,896.0,0.0,0.0
11.9,30.9,875.0,0.0,0.0
23.8,61.9,869.0,0.0,0.0
23.9,61.9,853.0,0.0,0.0
23.9,61.8,875.0,1.0,0.0
23.8,61.8,894.0,0.0,0.0
23.8,62.1,870.0,0.0,0.0
23.9,62.0,864.0,0.0,0.04
23.8,61.9,865.0,1.0,0.1
23.8,61.9,874.0,1.0,0.06
23.8,61.8,894.0,0.0,0.09
23.8,61.9,875.0,1.0,0.0
23.9,62.1,862.0,1.0,0.07
23.8,62.2,865.0,1.0,0.0
23.8,62.2,885.0,0.0,0.0
23.8,62.2,869.0,0.0,0.0
23.8,62.2,875.0,0.0,0.0
23.8,62.2,871.0,0.0,0.02
23.8,62.1,887.0,0.0,0.23
23.8,61.8,887.0,0.0,0.04
23.8,61.8,891.0,0.0,0.09
23.8,61.9,853.0,0.0,0.0
23.8,61.8,863.0,0.0,0.1
23.8,61.8,866.0,0.0,0.09
23.8,61.8,853.0,1.0,0.0
23.7,61.8,865.0,1.0,0.04
23.8,61.7,877.0,1.0,0.02
23.8,61.8,865.0,0.0,0.0
23.7,61.7,864.0,1.0,0.0
23.7,61.9,863.0,1.0,0.2
23.7,62.1,866.0,1.0,0.23
23.7,62.1,869.0,1.0,0.0
23.7,62.2,871.0,1.0,0.0
23.7,62.0,880.0,0.0,0.0
23.7,61.9,886.0,0.0,0.07
23.7,61.8,889.0,1.0,0.12
23.7,61.7,869.0,1.0,0.0
23.7,61.7,871.0,1.0,0.26
23.7,61.7,863.0,0.0,0.12
11.8,30.9,871.0,0.0,0.0
23.7,61.7,885.0,0.0,0.09
23.7,61.6,867.0,0.0,0.0
23.7,61.7,862.0,0.0,0.0
23.7,61.7,878.0,0.0,0.12
23.7,61.7,896.0,0.0,0.17
23.7,61.8,877.0,0.0,0.01
23.7,61.9,864.0,0.0,0.18
23.7,61.8,867.0,0.0,0.0
23.7,61.7,857.0,0.0,0.0
23.6,61.6,880.0,0.0,0.0
23.6,61.6,880.0,0.0,0.0
23.6,61.6,890.0,0.0,0.0
23.6,61.6,880.0,0.0,0.06
23.6,61.5,887.0,0.0,0.0
23.6,61.5,890.0,0.0,0.04
23.6,61.6,867.0,0.0,0.12
23.6,61.7,862.0,0.0,0.0
23.6,61.8,878.0,0.0,0.0
23.6,61.8,875.0,0.0,0.0
23.6,61.7,867.0,0.0,0.0
23.6,61.9,897.0,0.0,0.05
23.6,61.9,875.0,0.0,0.22
23.6,61.8,894.0,0.0,0.16
23.6,61.8,866.0,0.0,0.23
23.6,61.8,880.0,0.0,0.0
23.6,61.8,868.0,0.0,0.11
23.6,68.7,891.0,0.0,0.06
23.6,69.6,895.0,0.0,0.0
23.6,67.9,885.0,0.0,0.04
23.7,66.7,864.0,0.0,0.14
23.7,65.5,863.0,0.0,0.0
23.7,63.8,863.0,0.0,0.0
23.7,63.2,872.0,0.0,0.09
23.7,62.7,864.0,0.0,0.0
23.6,62.4,874.0,0.0,0.1
23.7,65.2,866.0,0.0,0.13
23.7,70.8,889.0,0.0,0.12
23.7,70.8,886.0,0.0,0.0
23.7,69.1,865.0,1.0,0.08
23.7,67.8,859.0,1.0,0.0
11.8,33.9,869.0,1.0,0.0
11.8,33.9,867.0,0.0,0.0
24.7,93.6,869.0,0.0,0.12
24.8,95.2,871.0,0.0,0.0
24.7,95.3,865.0,0.0,0.01
24.6,92.6,869.0,0.0,0.0
