temperature,humidity,gas,vibration,current
25.6,75.3,864.0,0.0,0.05
25.6,71.9,879.0,0.0,0.0
25.6,66.4,877.0,0.0,0.01
25.6,64.5,891.0,0.0,0.0
25.7,63.0,865.0,0.0,0.11
25.6,61.1,887.0,0.0,0.0
25.6,60.5,865.0,0.0,0.0
25.7,59.6,862.0,0.0,0.0
25.7,59.2,864.0,0.0,0.18
25.6,59.0,891.0,0.0,0.0
25.6,58.6,873.0,0.0,0.19
25.6,58.2,859.0,0.0,0.15
25.6,58.0,866.0,0.0,0.0
25.6,57.9,891.0,0.0,0.13
25.6,62.7,884.0,0.0,0.0
25.6,62.7,867.0,0.0,0.0
25.6,61.9,863.0,0.0,0.0
25.6,61.1,866.0,0.0,0.12
25.6,59.6,887.0,0.0,0.0
25.5,59.1,891.0,0.0,0.0
25.5,58.6,864.0,0.0,0.01
25.5,58.1,863.0,0.0,0.08
25.5,57.9,875.0,0.0,0.07
25.5,57.7,881.0,0.0,0.0
25.4,57.6,868.0,1.0,0.15
25.4,57.6,879.0,0.0,0.13
25.4,57.5,893.0,0.0,0.0
25.4,57.4,899.0,0.0,0.0
25.4,57.5,871.0,1.0,0.0
25.4,57.6,855.0,1.0,0.13
25.4,57.6,871.0,1.0,0.0
25.3,57.8,881.0,1.0,0.01
25.3,58.2,893.0,0.0,0.0
25.3,58.2,862.0,0.0,0.08
25.4,61.0,886.0,0.0,0.1
25.3,65.0,891.0,0.0,0.0
25.3,64.1,884.0,0.0,0.0
25.3,63.3,875.0,0.0,0.0
25.3,62.7,865.0,0.0,0.17
25.3,62.0,863.0,0.0,0.0
25.3,61.1,868.0,0.0,0.0
25.3,60.7,877.0,0.0,0.11
25.3,60.3,878.0,0.0,0.03
25.3,59.7,866.0,0.0,0.0
25.3,59.2,865.0,0.0,0.41
25.3,58.7,878.0,0.0,0.11
25.4,58.4,883.0,0.0,0.03
25.3,58.4,865.0,0.0,0.09
25.3,58.3,869.0,0.0,0.0
25.3,58.3,868.0,0.0,0.0
25.3,58.3,869.0,0.0,0.12
25.3,58.1,869.0,0.0,0.19
25.4,58.2,885.0,0.0,0.09
25.3,58.7,867.0,0.0,0.0
25.3,58.9,877.0,0.0,0.16
25.3,58.8,879.0,0.0,0.0
25.4,58.7,863.0,0.0,0.3
25.4,58.6,882.0,0.0,0.0
25.4,58.4,883.0,0.0,0.19
25.3,58.4,872.0,0.0,0.0
25.4,58.3,895.0,0.0,0.13
25.4,58.3,891.0,0.0,0.02
25.4,58.2,865.0,0.0,0.11
25.3,58.1,895.0,0.0,0.23
25.4,58.1,864.0,0.0,0.0
25.3,58.2,903.0,0.0,0.04
25.3,58.1,880.0,0.0,0.0
25.3,58.0,883.0,0.0,0.15
25.3,58.0,891.0,0.0,0.11
25.3,58.0,870.0,0.0,0.0
25.3,58.1,883.0,0.0,0.0
25.3,58.2,879.0,0.0,0.0
25.3,58.1,886.0,0.0,0.0
25.3,58.0,862.0,0.0,0.0
25.3,58.0,859.0,0.0,0.08
25.3,58.1,862.0,0.0,0.25
25.3,58.0,887.0,0.0,0.0
25.3,58.0,874.0,0.0,0.0
25.3,57.9,874.0,0.0,0.15
25.3,58.0,886.0,0.0,0.0
25.3,58.9,866.0,0.0,0.0
25.3,58.8,864.0,0.0,0.01
25.3,58.8,859.0,0.0,0.0
25.4,58.8,875.0,0.0,0.14
25.3,58.6,885.0,0.0,0.0
25.4,58.6,867.0,0.0,0.18
25.4,58.6,870.0,0.0,0.21
25.3,58.6,893.0,0.0,0.0
25.4,58.7,892.0,0.0,0.13
25.4,58.5,875.0,0.0,0.01
25.4,58.4,893.0,0.0,0.04
25.4,58.3,867.0,0.0,0.0
25.3,58.2,894.0,0.0,0.12
25.4,58.0,871.0,0.0,0.0
25.3,58.1,891.0,0.0,0.0
25.3,58.1,871.0,0.0,0.26
25.3,58.3,870.0,0.0,0.0
25.3,58.3,889.0,0.0,0.13
25.4,58.2,873.0,0.0,0.0
25.4,58.2,860.0,0.0,0.0
