temperature,humidity,gas,vibration,current
26.30,42.90,876,0,0.00
26.30,42.90,864,0,0.00
26.30,42.90,889,1,0.00
26.30,42.90,864,0,0.00
26.30,42.90,865,0,0.00
26.30,42.90,859,0,0.00
26.30,42.90,860,1,0.00
26.30,42.90,889,0,0.00
26.30,42.90,871,0,0.00
26.30,42.90,864,0,0.00
26.60,55.50,875,0,0.00
27.60,75.20,865,1,0.01
27.70,77.50,868,0,0.01
27.70,78.70,863,1,0.00
27.60,79.30,885,1,0.00
27.50,79.40,860,1,0.00
27.40,79.30,863,1,0.05
27.30,79.10,867,1,0.31
27.50,86.50,864,0,0.02
29.10,100.00,866,0,0.03
30.00,100.00,862,0,0.15
30.20,100.00,871,0,0.09
30.40,100.00,862,0,0.16
30.30,100.00,865,1,0.16
30.10,100.00,885,0,0.12
30.00,100.00,864,1,0.00
30.00,100.00,867,0,0.05
30.00,100.00,878,0,0.00
29.80,100.00,875,0,0.00
29.80,100.00,863,0,0.00
29.60,100.00,865,0,0.00
29.50,100.00,858,0,0.00
29.30,100.00,865,0,0.00
29.20,100.00,869,0,0.00
29.10,100.00,867,0,0.05
29.00,100.00,869,0,0.25
29.00,100.00,869,0,0.27
29.00,100.00,863,0,0.00
28.90,100.00,866,0,0.40
28.90,100.00,869,1,0.01
28.90,100.00,877,1,0.00
28.90,100.00,863,0,0.27
29.00,100.00,885,1,0.53
29.00,100.00,865,1,0.28
29.00,100.00,890,0,0.12
29.10,99.50,865,0,0.00
29.10,99.00,863,0,0.00
29.10,98.10,862,0,0.00
29.00,97.40,864,0,0.11
29.00,96.40,873,0,0.00
29.00,95.40,878,0,0.05
29.00,94.30,866,0,0.00
29.00,92.80,865,0,0.00
28.90,91.70,857,0,0.00
28.90,90.00,860,0,0.00
28.80,88.20,862,0,0.04
28.80,85.90,887,0,0.00
28.70,83.30,868,0,0.00
28.60,80.50,887,0,0.16
28.60,78.80,867,0,0.11
28.50,77.30,875,0,0.27
28.50,75.60,887,0,0.09
28.40,73.80,865,0,0.00
28.50,72.80,865,0,0.09
28.40,70.60,870,0,0.01
28.30,69.20,861,0,0.00
28.30,68.00,859,0,0.00
28.20,66.80,865,0,0.16
28.20,65.50,891,0,0.28
28.10,64.20,882,0,0.24
28.10,62.80,861,0,0.10
28.10,61.40,869,0,0.00
28.00,59.90,859,0,0.01
28.00,59.10,858,0,0.00
28.00,58.60,894,0,0.00
28.00,58.00,869,0,0.26
28.00,57.20,893,0,0.04
27.90,55.80,864,1,0.01
27.90,55.10,863,0,0.13
27.80,54.40,861,0,0.29
27.80,53.90,875,0,0.00
27.80,53.40,873,0,0.08
27.80,52.90,862,0,0.06
27.80,52.60,866,0,0.00
27.70,52.10,853,0,0.00
27.70,51.60,863,0,0.00
27.70,51.10,883,0,0.00
27.70,50.70,861,0,0.09
27.60,50.30,863,0,0.08
27.60,50.00,875,0,0.07
27.60,49.60,869,0,0.00
27.60,49.30,863,0,0.00
27.60,49.00,860,0,0.00
27.50,48.70,862,0,0.26
27.60,48.60,880,0,0.13
27.50,48.30,859,0,0.07
27.50,48.00,865,0,0.00
27.50,47.70,866,0,0.00
27.50,47.50,869,0,0.00
27.40,47.20,858,0,0.01
27.40,47.00,863,0,0.03
27.40,46.80,863,0,0.26
27.40,46.60,853,0,0.00
27.40,46.40,859,0,0.00
27.40,46.20,887,0,0.19
27.50,46.10,866,0,0.01
27.30,46.00,868,0,0.25
27.30,45.80,866,0,0.00
27.30,45.70,870,0,0.25
27.30,45.60,871,0,0.21
27.30,45.40,863,0,0.00
27.30,45.30,935,0,0.04
27.20,45.20,894,0,0.12
27.20,45.20,862,0,0.13
27.20,45.10,860,0,0.19
27.20,45.00,867,0,0.24
27.20,45.00,887,0,0.00
27.20,44.90,871,0,0.15
27.20,44.90,873,0,0.25
27.20,44.80,865,0,0.00
27.20,44.70,879,0,0.24
27.10,44.60,875,0,0.49
27.10,44.50,866,0,0.00
27.10,44.50,878,0,0.15
27.10,44.40,870,0,0.00
27.10,44.30,867,0,0.10
27.10,44.30,866,0,0.00
27.10,44.30,866,0,0.00
27.10,44.20,855,0,0.19
27.10,44.20,866,0,0.00
27.00,44.20,869,0,0.00
27.00,44.10,863,0,0.12
27.00,44.10,870,0,0.16
27.00,44.10,867,0,0.13
27.00,44.00,858,0,0.21
27.00,44.00,869,0,0.01
27.00,44.00,879,0,0.25
27.00,44.00,870,0,0.00
27.00,43.90,883,0,0.25
27.00,43.90,890,0,0.01
27.00,44.10,873,0,0.00
27.00,44.10,867,0,0.20
27.00,44.10,867,0,0.21
27.00,44.10,863,0,0.04
27.00,44.10,858,0,0.00
27.00,44.10,859,0,0.12
27.00,44.10,870,0,0.08
27.00,44.10,863,0,0.00
27.00,43.80,862,0,0.20
27.00,44.10,870,0,0.00
27.00,44.00,875,0,0.26
27.00,44.00,871,0,0.20
27.00,44.00,874,0,0.00
27.00,44.00,863,0,0.00
26.90,44.00,863,0,0.26
